fen,depth,cp
rnb1kb1r/pp3p2/5pp1/q2p3p/3P3P/PP4P1/3NPPB1/R2QK1NR b KQkq -,25,0.0
8/8/8/8/1kpKB3/3n4/8/8 b - -,29,-5.0
r1b1k2r/p3ppbp/2nq2pn/1pp5/5P2/N1PPBNP1/PP4BP/R2Q1RK1 w kq -,32,385.0
8/5k2/6p1/3K2B1/p1p5/1bP2P2/1P6/8 b - -,42,0.0
r5k1/pb3r2/1p2B2p/3p4/3P4/4P3/PP4PB/3R2K1 b - -,36,60.0
1r2k2r/1pbn2p1/p1p1p3/2P2pq1/Q2Pp2P/P3P1P1/1P1BB3/2KR3R b k -,23,88.0
r1bq1rk1/ppp2ppp/2n1pn2/2P5/2B5/P3PN2/1P3PPP/RNBQK2R w KQ -,20,410.0
6k1/6P1/5K2/8/8/8/6r1/5R2 w - -,20,0.0
4B3/7p/5k2/8/8/8/6K1/6B1 w - -,20,489.0
8/5pk1/3N3p/6n1/P7/1P6/5K2/8 b - -,32,0.0
rn2k2r/1pqbppbp/p2p1np1/8/2BPP3/1QN1BN1P/PP3PP1/R3K2R w KQkq -,21,512.0
8/8/pPk2KP1/3b4/1p3n1P/8/1PB5/8 b - -,47,0.0
4rrk1/5p1p/1p4pb/pPp1p3/P1PpP3/3P2PP/5PB1/R4RK1 w - -,32,10.0
r3r1k1/pbqn1pp1/1ppb1p2/7p/2PP4/3B3P/PPQBNPP1/4RRK1 b - -,22,59.0
8/5p2/K5p1/4P3/3P3P/1b6/4kB2/8 w - -,44,0.0
r3k2r/1bq2ppp/p1pbpn2/1p2N3/3P1P2/3B4/PPP1Q1PP/R1B2RK1 w kq -,20,23.0
r4rk1/pp1n1ppp/3b4/2nNq3/2P3B1/B5P1/2Q2P1P/3R1RK1 b - -,30,291.0
r1bq1rk1/pp1n1ppp/3b1p2/7Q/3N4/2PB4/PP3PPP/R1B1K2R b KQ -,18,8.0
5rk1/p2nr2p/1pB5/2p1Pb2/2P2p2/8/PBPR3P/5RK1 w - -,22,738.0
8/6p1/7p/8/7k/2R4P/1r6/6K1 b - -,43,-3.0
r1b1kb1r/ppp2ppp/8/4p3/7q/1PNPP1P1/1PP4P/R2QK1NR b KQkq -,26,-95.0
5rk1/ppr3pp/nnp1p3/4q1N1/6Q1/P5PP/1P4BK/R3R3 b - -,25,299.0
r1b1k2r/4nppp/p3p3/3pP3/1P1N1P2/8/1PPNBnPP/2KR3R b kq -,30,-10.0
r7/p3kprp/2p1pn2/3p4/P2P4/2P4P/1P1NR1PK/R7 w - -,27,0.0
1r4k1/4bppp/B1p5/2Pp4/3P4/2P1B3/P4PPP/5K2 w - -,21,63.0
8/3k4/8/1K3n2/PP6/6p1/7B/8 w - -,30,32.0
r4rk1/pb1n1pp1/1q3b1p/3p4/8/1QN1PN2/PP2BPPP/R3K2R w KQ -,24,74.0
r1bqkb1r/pp3ppp/2n1pn2/6B1/2pN4/2N3P1/PP2PP1P/R2QKB1R w KQkq -,25,5.0
r4rk1/ppq2pp1/2nb1p1p/8/2pPB1b1/2P1B3/PPQ1NP1P/2K3RR b - -,23,211.0
6R1/8/4b3/4k2p/n6P/1K4P1/8/8 w - -,20,-3217.0
2r3k1/p4p1p/1pb2p2/8/4p3/1P2P3/P3BPPP/R5K1 w - -,16,131.0
2r1n2k/6p1/2r4p/4Q1P1/p1P1P3/1p1PKP2/qP5P/2R4R b - -,31,-12.0
r1b1k2r/ppp1qppp/1bn2n2/3pp3/1P6/P2P1NP1/2P1PPBP/RNBQ1RK1 w kq -,24,-22.0
8/5p2/3b1pk1/8/2B5/7P/5PP1/5K2 w - -,36,11.0
5bk1/7p/1p3pp1/2p5/8/2P1N1P1/rP3PKP/3R4 w - -,32,7.0
2r2b2/pbk1p3/1p3p1p/7q/1R1Q1P1P/8/P1PP2P1/4K2R b K -,26,-365.0
8/8/k4pp1/P6p/4KP1r/8/6R1/8 w - -,20,277.0
5rk1/1p6/p2p1r2/P1p1p1Q1/8/7P/1P2N3/6K1 b - -,20,167.0
r3n1qr/1pp4k/p1npp3/4p2N/P3P3/2PPPQ1P/1P4P1/R4RK1 w - -,23,34.0
8/4Kr2/8/8/8/8/1k6/8 w - -,60,0.0
r1bqkb1r/ppp2ppp/4pn2/3p4/3PP3/2PQ4/PP2NPPP/RNB1K2R w KQkq -,21,47.0
r1bqkb1r/ppp1p1pp/2n2n2/3p1pB1/3P4/2N1P2P/PPP2PP1/R2QKBNR b KQkq -,25,28.0
7k/1Nr2p1p/p1P5/8/7p/5P2/6P1/2R4K b - -,23,639.0
4r1k1/1N1nbp2/2p2n1p/1p1p2pb/1P6/3P2P1/3BPPBP/1NR2K2 b - -,25,51.0
1r3rk1/p1q2ppp/Q7/3B4/8/4P3/P2B1PPP/b4RK1 b - -,32,-63.0
1r4k1/7p/2p2ppb/p2rnP2/3B2P1/7P/PPR3K1/3R1B2 w - -,22,58.0
2rqkn1r/5p2/p3p2p/bp1pP1p1/3P2P1/P3BN1P/1PQ2P2/R4RK1 w k -,23,68.0
r2qk2r/3nbppp/3pbn2/1N2p3/p3P2P/1N2BP2/PPPQ2P1/2KR1B1R w kq -,27,-6.0
2r5/1p3kbQ/5pp1/3Rpb2/8/2N5/Pq3PPP/3R2K1 b - -,24,-62.0
r5k1/ppq2ppp/2pr1n2/8/4PN2/2N5/PPP3PP/4QR1K w - -,20,-350.0
3R4/5kpp/p4n2/8/3N4/6P1/r1p2PBP/6K1 w - -,24,19.0
5r2/6k1/8/6pP/5pPp/5R2/7K/8 b - -,25,-3.0
2N5/3n4/2p3k1/1p3p1p/1P1K2P1/P5P1/8/8 b - -,21,-315.0
5k2/pp4pp/3p3q/4p3/4P1n1/P2P2P1/1PrBK1QP/R7 w - -,27,-232.0
r2q1rk1/pp3ppp/2bp1b2/3N4/3pP3/1Q3N2/PP3PPP/3R1RK1 b - -,21,-12.0
3qk2r/1p1bnppp/2n1p3/1N1pP3/8/r1PB1N2/P4PPP/1R1Q1RK1 b k -,18,320.0
r3k1nr/pp1qppbp/2np2p1/8/2P5/1QN1N1P1/PP2PP1P/R1B2RK1 b kq -,19,-9.0
7r/p4k2/8/5PP1/4K3/B1P5/3P1n1P/7R w - -,48,21.0
3k4/pp3Qp1/2p2p2/2P5/5P2/1B2q3/PBPr2rP/R4R1K w - -,23,0.0
1R6/5p1p/1P2k1p1/3pp3/8/1r4P1/5PKP/8 b - -,23,-323.0
1rb2rk1/pp3ppp/1qn2p2/3N4/3P4/3QP3/5PPP/R4RK1 b - -,22,-444.0
